Image,Name,CounteredBy
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Jax
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Riven
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Teemo
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Fiora
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Renekton
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Pantheon
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Tryndamere
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Nasus
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Lee Sin
http://www.championselect.net/images/CS_Champ_Icons_Resized/aatrox.png,Aatrox,Ahri
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,LeBlanc
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Annie
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Talon
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Swain
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Akali
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Diana
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Fizz
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Ryze
http://www.championselect.net/images/CS_Champ_Icons_Resized/103_Web_0.jpg,Ahri,Malzahar
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Lee Sin
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Garen
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Mordekaiser
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Renekton
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Diana
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Annie
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Rumble
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Lee Sin
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Swain
http://www.championselect.net/images/CS_Champ_Icons_Resized/84_Web_0.jpg,Akali,Malzahar
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Janna
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Vayne
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Lulu
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Cho'Gath
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Soraka
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Olaf
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Zyra
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Morgana
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Aatrox
http://www.championselect.net/images/CS_Champ_Icons_Resized/12_Web_0.jpg,Alistar,Caitlyn
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Shyvana
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Dr. Mundo
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Lee Sin
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Shaco
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Janna
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Olaf
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Xin Zhao
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Kha'Zix
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Olaf
http://www.championselect.net/images/CS_Champ_Icons_Resized/32_Web_0.jpg,Amumu,Gragas
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Fizz
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Diana
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Orianna
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Gragas
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Talon
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Ziggs
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,LeBlanc
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Zed
http://www.championselect.net/images/CS_Champ_Icons_Resized/34_Web_0.jpg,Anivia,Ahri
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Brand
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Orianna
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Morgana
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Lux
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Syndra
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,LeBlanc
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Xerath
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Talon
http://www.championselect.net/images/CS_Champ_Icons_Resized/1_Web_0.jpg,Annie,Gragas
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Ezreal
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Graves
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Kha'Zix
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Sivir
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Caitlyn
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Draven
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Varus
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Quinn
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Twitch
http://www.championselect.net/images/CS_Champ_Icons_Resized/22_Web_0.jpg,Ashe,Kog'Maw
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Alistar
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Leona
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Ezreal
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Thresh
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Sivir
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Morgana
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Amumu
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Taric
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Lulu
http://www.championselect.net/images/CS_Champ_Icons_Resized/53_Web_0.jpg,Blitzcrank,Nidalee
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Fizz
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,LeBlanc
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Galio
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Diana
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Lux
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Akali
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Elise
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Talon
http://www.championselect.net/images/CS_Champ_Icons_Resized/brand.png,Brand,Ahri
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Sivir
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Jinx
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Varus
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Tristana
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Kog'Maw
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Jinx
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Lucian
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Draven
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Yasuo
http://www.championselect.net/images/CS_Champ_Icons_Resized/47_Web_0.jpg,Caitlyn,Leona
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Galio
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,LeBlanc
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Fizz
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Talon
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Lux
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Ahri
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Diana
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Akali
http://www.championselect.net/images/CS_Champ_Icons_Resized/69_Web_0.jpg,Cassiopeia,Ziggs
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Warwick
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Vayne
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Kayle
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Kog'Maw
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Garen
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Renekton
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Xin Zhao
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Fizz
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Jax
http://www.championselect.net/images/CS_Champ_Icons_Resized/31_Web_0.jpg,Cho'Gath,Aatrox
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Caitlyn
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Draven
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Varus
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Urgot
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Lucian
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Aatrox
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Kog'Maw
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Akali
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Ashe
http://www.championselect.net/images/CS_Champ_Icons_Resized/42_Web_0.jpg,Corki,Ahri
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Teemo
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Kayle
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Jayce
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Yorick
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Aatrox
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Renekton
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Elise
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Jax
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Cho'Gath
http://www.championselect.net/images/CS_Champ_Icons_Resized/122_Web_0.jpg,Darius,Kennen
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Mordekaiser
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Riven
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Irelia
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Swain
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Syndra
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Cho'Gath
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Heimerdinger
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Jax
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Ryze
http://www.championselect.net/images/CS_Champ_Icons_Resized/128_Web_0.jpg,Diana,Ahri
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Kog'Maw
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Riven
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Darius
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Miss Fortune
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Fizz
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Tristana
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Trundle
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Elise
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Shyvana
http://www.championselect.net/images/CS_Champ_Icons_Resized/36_Web_0.jpg,Dr. Mundo,Vayne
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Varus
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Caitlyn
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Thresh
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Blitzcrank
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Quinn
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Nami
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Kog'Maw
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Leona
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Teemo
http://www.championselect.net/images/CS_Champ_Icons_Resized/119_Web_0.jpg,Draven,Taric
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Yorick
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Wukong
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Mordekaiser
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Malzahar
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,LeBlanc
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Gangplank
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Akali
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Cho'Gath
http://www.championselect.net/images/CS_Champ_Icons_Resized/elise.png,Elise,Vladimir
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Ryze
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Lee Sin
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Mordekaiser
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Cassiopeia
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Twisted Fate
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Lee Sin
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Annie
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Malzahar
http://www.championselect.net/images/CS_Champ_Icons_Resized/28_Web_0.jpg,Evelynn,Twisted Fate
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Draven
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Graves
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Caitlyn
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Miss Fortune
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Vayne
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Akali
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Twitch
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Sivir
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Tristana
http://www.championselect.net/images/CS_Champ_Icons_Resized/81_Web_0.jpg,Ezreal,Corki
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Janna
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Xin Zhao
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Diana
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Alistar
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Kassadin
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Cho'Gath
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Tristana
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Brand
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,LeBlanc
http://www.championselect.net/images/CS_Champ_Icons_Resized/9_Web_0.jpg,Fiddlesticks,Ahri
http://www.championselect.net/images/CS_Champ_Icons_Resized/114_Web_0.jpg,Fiora,Jax
http://www.championselect.net/images/CS_Champ_Icons_Resized/114_Web_0.jpg,Fiora,Pantheon
http://www.championselect.net/images/CS_Champ_Icons_Resized/114_Web_0.jpg,Fiora,Malphite
http://www.championselect.net/images/CS_Champ_Icons_Resized/114_Web_0.jpg,Fiora,Singed
http://www.championselect.net/images/CS_Champ_Icons_Resized/114_Web_0.jpg,Fiora,Renekton
http://www.championselect.net/images/CS_Champ_Icons_Resized/114_Web_0.jpg,Fiora,Riven
